"GEOID","County","State","RE","Sex","Category","Measure","Value","Source"
"29117","Livingston County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",486.4403,"US Cancer Statistics, 2018 - 2022"
"29119","McDonald County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",435.6341,"US Cancer Statistics, 2018 - 2022"
"29121","Macon County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",478.7044,"US Cancer Statistics, 2018 - 2022"
"29123","Madison County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",551.5263,"US Cancer Statistics, 2018 - 2022"
"29125","Maries County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",383.1448,"US Cancer Statistics, 2018 - 2022"
"29127","Marion County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",548.8965,"US Cancer Statistics, 2018 - 2022"
"29129","Mercer County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",435.1495,"US Cancer Statistics, 2018 - 2022"
"29131","Miller County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",455.0997,"US Cancer Statistics, 2018 - 2022"
"29133","Mississippi County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",531.7563,"US Cancer Statistics, 2018 - 2022"
"29135","Moniteau County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",469.7678,"US Cancer Statistics, 2018 - 2022"
"29137","Monroe County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",503.5686,"US Cancer Statistics, 2018 - 2022"
"29139","Montgomery County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",522.8064,"US Cancer Statistics, 2018 - 2022"
"29141","Morgan County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",484.0078,"US Cancer Statistics, 2018 - 2022"
"29143","New Madrid County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",478.0059,"US Cancer Statistics, 2018 - 2022"
"29145","Newton County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",415.4264,"US Cancer Statistics, 2018 - 2022"
"29147","Nodaway County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",424.9134,"US Cancer Statistics, 2018 - 2022"
"29149","Oregon County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",546.8427,"US Cancer Statistics, 2018 - 2022"
"29151","Osage County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",492.395,"US Cancer Statistics, 2018 - 2022"
"29153","Ozark County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",470.918,"US Cancer Statistics, 2018 - 2022"
"29155","Pemiscot County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",419.3696,"US Cancer Statistics, 2018 - 2022"
"29157","Perry County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",482.7347,"US Cancer Statistics, 2018 - 2022"
"29159","Pettis County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",480.1369,"US Cancer Statistics, 2018 - 2022"
"29161","Phelps County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",474.207,"US Cancer Statistics, 2018 - 2022"
"29163","Pike County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",528.9875,"US Cancer Statistics, 2018 - 2022"
"29165","Platte County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",391.842,"US Cancer Statistics, 2018 - 2022"
"29167","Polk County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",462.2515,"US Cancer Statistics, 2018 - 2022"
"29169","Pulaski County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",475.0537,"US Cancer Statistics, 2018 - 2022"
"29171","Putnam County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",456.8094,"US Cancer Statistics, 2018 - 2022"
"29173","Ralls County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",375.4075,"US Cancer Statistics, 2018 - 2022"
"29175","Randolph County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",513.5095,"US Cancer Statistics, 2018 - 2022"
"29177","Ray County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",428.0619,"US Cancer Statistics, 2018 - 2022"
"29179","Reynolds County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",493.5411,"US Cancer Statistics, 2018 - 2022"
"29181","Ripley County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",587.4325,"US Cancer Statistics, 2018 - 2022"
"29183","St. Charles County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",456.9332,"US Cancer Statistics, 2018 - 2022"
"29185","St. Clair County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",481.8495,"US Cancer Statistics, 2018 - 2022"
"29186","St. Genevieve County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",477.4339,"US Cancer Statistics, 2018 - 2022"
"29187","St. Francois County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",534.5267,"US Cancer Statistics, 2018 - 2022"
"29189","St. Louis County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",473.8378,"US Cancer Statistics, 2018 - 2022"
"29195","Saline County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",476.7326,"US Cancer Statistics, 2018 - 2022"
"29197","Schuyler County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",374.4214,"US Cancer Statistics, 2018 - 2022"
"29199","Scotland County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",326.7993,"US Cancer Statistics, 2018 - 2022"
"29201","Scott County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",514.9328,"US Cancer Statistics, 2018 - 2022"
"29203","Shannon County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",486.2808,"US Cancer Statistics, 2018 - 2022"
"29205","Shelby County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",530.8979,"US Cancer Statistics, 2018 - 2022"
"29207","Stoddard County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",516.3353,"US Cancer Statistics, 2018 - 2022"
"29209","Stone County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",455.392,"US Cancer Statistics, 2018 - 2022"
"29211","Sullivan County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",378.2226,"US Cancer Statistics, 2018 - 2022"
"29213","Taney County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",467.1895,"US Cancer Statistics, 2018 - 2022"
"29215","Texas County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",416.0072,"US Cancer Statistics, 2018 - 2022"
"29217","Vernon County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",397.1203,"US Cancer Statistics, 2018 - 2022"
"29219","Warren County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",473.2875,"US Cancer Statistics, 2018 - 2022"
"29221","Washington County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",499.9337,"US Cancer Statistics, 2018 - 2022"
"29223","Wayne County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",539.6404,"US Cancer Statistics, 2018 - 2022"
"29225","Webster County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",447.3692,"US Cancer Statistics, 2018 - 2022"
"29227","Worth County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",573.2411,"US Cancer Statistics, 2018 - 2022"
"29229","Wright County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",459.871,"US Cancer Statistics, 2018 - 2022"
"29510","St. Louis City","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",423.6037,"US Cancer Statistics, 2018 - 2022"
